Palavra-Chave,Respostas
12 vf,"*12ª Vara Federal - Cível*
E-mail: 12vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2747

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-12VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/12-vara-civel"
12ª vara,"*12ª Vara Federal - Cível*
E-mail: 12vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2747

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-12VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/12-vara-civel"
13VF,"*13ª Vara Federal - Cível*
E-mail: 13vara.ba@trf1.jus.br 
sepip.13vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9143

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-13VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no linhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/13-vara-civel"
13 vf,"*13ª Vara Federal - Cível*
E-mail: 13vara.ba@trf1.jus.br 
sepip.13vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9143

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-13VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no linhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/13-vara-civel"
13ª vara,"*13ª Vara Federal - Cível*
E-mail: 13vara.ba@trf1.jus.br 
sepip.13vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9143

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-13VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no linhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/13-vara-civel"
14VF,"*14ª Vara Federal - Cível*
E-mail: 14vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2774
(71) 3617-2741

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-14VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/14-vara-civel-"
14 vf,"*14ª Vara Federal - Cível*
E-mail: 14vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2774
(71) 3617-2741

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-14VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/14-vara-civel-"
14ª vara,"*14ª Vara Federal - Cível*
E-mail: 14vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2774
(71) 3617-2741

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-14VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/14-vara-civel-"
16VF,"*16ª Vara Federal - Cível*
E-mail: sepip.16vara.ba@trf1.jus.br  

Telefones:
(71) 3617-9170 - das 09 às 14h
(71) 3617-9137 - das 14 às 18h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-16VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/16-vara-civel"
16 vf,"*16ª Vara Federal - Cível*
E-mail: sepip.16vara.ba@trf1.jus.br  

Telefones:
(71) 3617-9170 - das 09 às 14h
(71) 3617-9137 - das 14 às 18h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-16VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/16-vara-civel"
16ª vara,"*16ª Vara Federal - Cível*
E-mail: sepip.16vara.ba@trf1.jus.br  

Telefones:
(71) 3617-9170 - das 09 às 14h
(71) 3617-9137 - das 14 às 18h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-16VaraFederalCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/16-vara-civel"
17vf,"*17ª Vara Federal - Criminal*
E-mail: 17vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2756

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-17VaraFederalCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/17-vara-criminal-"
17 vf,"*17ª Vara Federal - Criminal*
E-mail: 17vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2756

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-17VaraFederalCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/17-vara-criminal-"
17ª vara,"*17ª Vara Federal - Criminal*
E-mail: 17vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2756

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-17VaraFederalCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/17-vara-criminal-"
18VF,"*18ª Vara Federal - Execução Fiscal*
E-mail: 18vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2787

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-18VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/18-vara-execucao-fiscal"
18 vf,"*18ª Vara Federal - Execução Fiscal*
E-mail: 18vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2787

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-18VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/18-vara-execucao-fiscal"
18ª vara,"*18ª Vara Federal - Execução Fiscal*
E-mail: 18vara.ba@trf1.jus.br 

Telefone:
(71) 3617-2787

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-18VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/18-vara-execucao-fiscal"
19VF,"*19ª Vara Federal - Execução Fiscal*
E-mail: 19vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9157

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-19VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/19-vara-execucao-fiscal"
19 Vf,"*19ª Vara Federal - Execução Fiscal*
E-mail: 19vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9157

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-19VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/19-vara-execucao-fiscal"
19ª vara,"*19ª Vara Federal - Execução Fiscal*
E-mail: 19vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9157

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-19VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/19-vara-execucao-fiscal"
20VF,"*20ª Vara Federal - Execução Fiscal*
E-mail: sepip.20vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9166

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-20VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/20-vara-execucao-fiscal"
20 Vf,"*20ª Vara Federal - Execução Fiscal*
E-mail: sepip.20vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9166

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-20VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/20-vara-execucao-fiscal"
20ª vara,"*20ª Vara Federal - Execução Fiscal*
E-mail: sepip.20vara.ba@trf1.jus.br 

Telefone:
(71) 3617-9166

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-20VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/20-vara-execucao-fiscal"
24VF,"*24ª Vara Federal - Execução Fiscal*
E-mail: sepip.24vara.ba@trf1.jus.br
24vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2939, das 10 às 15h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-24VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/24-vara-execucao-fiscal"
24 Vf,"*24ª Vara Federal - Execução Fiscal*
E-mail: sepip.24vara.ba@trf1.jus.br
24vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2939, das 10 às 15h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-24VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/24-vara-execucao-fiscal"
24ª vara,"*24ª Vara Federal - Execução Fiscal*
E-mail: sepip.24vara.ba@trf1.jus.br
24vara.ba@trf1.jus.br 

Telefones:
(71) 3617-2939, das 10 às 15h

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-24VaraFederaldeExecucaoFiscal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual* 

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/24-vara-execucao-fiscal"
Sistema push,"🙎🏽 Quer ser informado por e-mail 📧 toda vez que o seu processo for movimentado? 

Cadastre-se no *Sistema Push do PJE* no link https://pje1g.trf1.jus.br/pje/Push/loginPush.seam  e/ou no *Sistema Push do Processual* no link https://portal.trf1.jus.br/Processos/Push/"
push,"🙎🏽 Quer ser informado por e-mail 📧 toda vez que o seu processo for movimentado? 

Cadastre-se no *Sistema Push do PJE* no link https://pje1g.trf1.jus.br/pje/Push/loginPush.seam  e/ou no *Sistema Push do Processual* no link https://portal.trf1.jus.br/Processos/Push/"
juiz,"🙎🏽 Se precisar falar diretamente com o Juíz do seu processo, agende o *atendimento virtual pelo Bookings* através do link https://www.trf1.jus.br/sjba/institucional/agendamento"
juíza,"🙎🏽 Se precisar falar diretamente com o Juíz do seu processo, agende o *atendimento virtual pelo Bookings* através do link https://www.trf1.jus.br/sjba/institucional/agendamento"
magistrado,"🙎🏽 Se precisar falar diretamente com o Juíz do seu processo, agende o *atendimento virtual pelo Bookings* através do link https://www.trf1.jus.br/sjba/institucional/agendamento"
falar com o juiz,"🙎🏽 Se precisar falar diretamente com o Juíz do seu processo, agende o *atendimento virtual pelo Bookings* através do link https://www.trf1.jus.br/sjba/institucional/agendamento"
balcao virtual,"🙎🏽 O *Balcão Virtual* permite que advogados, partes ou interessados acessem diretamente as secretarias das Varas para consulta de andamento de processos e outras orientações. *Não é permitido juntar petição* pelo Balcão Virtual.

*Horário de Atendimento:* *09h às 16h*

*Funcionamento:*
▪️ Clique no link da unidade que deseja contatar na página https://www.trf1.jus.br/sjba/enderecos-e-telefones/plantao-judicial-atendimento-ao-publico-externo ou digite *VARA* para ter acesso aos contatos dela.
▪️ Se estiver utilizando um computador, não é necessário instalar o aplicativo, basta escolher a opção “Continuar neste navegador”. Já pelo celular ou tablet, é preciso baixar o _Microsoft Teams_.
▪️ Após clicar no link do Balcão Virtual, é necessário clicar posteriormente na aba *Entrar no atendimento*, para ingressar de fato da sala de atendimento e em seguida clicar em  *Ingressar agora*, para iniciar a conversação.   
▪️ Aguarde o servidor autorizar sua entrada na sala virtual (lobby), mantendo o microfone desligado.
▪️ Quando atendimento for iniciado, mantenha a câmera ligada. Para processos em segredo de Justiça, será exigida a exibição de documento original com foto.
▪️ Ao término do atendimento, saia da sala virtual."
balcão virtual,"🙎🏽 O *Balcão Virtual* permite que advogados, partes ou interessados acessem diretamente as secretarias das Varas para consulta de andamento de processos e outras orientações. *Não é permitido juntar petição* pelo Balcão Virtual.

*Horário de Atendimento:* *09h às 16h*

*Funcionamento:*
▪️ Clique no link da unidade que deseja contatar na página https://www.trf1.jus.br/sjba/enderecos-e-telefones/plantao-judicial-atendimento-ao-publico-externo ou digite *VARA* para ter acesso aos contatos dela.
▪️ Se estiver utilizando um computador, não é necessário instalar o aplicativo, basta escolher a opção “Continuar neste navegador”. Já pelo celular ou tablet, é preciso baixar o _Microsoft Teams_.
▪️ Após clicar no link do Balcão Virtual, é necessário clicar posteriormente na aba *Entrar no atendimento*, para ingressar de fato da sala de atendimento e em seguida clicar em  *Ingressar agora*, para iniciar a conversação.   
▪️ Aguarde o servidor autorizar sua entrada na sala virtual (lobby), mantendo o microfone desligado.
▪️ Quando atendimento for iniciado, mantenha a câmera ligada. Para processos em segredo de Justiça, será exigida a exibição de documento original com foto.
▪️ Ao término do atendimento, saia da sala virtual."
balcao,"🙎🏽 O *Balcão Virtual* permite que advogados, partes ou interessados acessem diretamente as secretarias das Varas para consulta de andamento de processos e outras orientações. *Não é permitido juntar petição* pelo Balcão Virtual.

*Horário de Atendimento:* *09h às 16h*

*Funcionamento:*
▪️ Clique no link da unidade que deseja contatar na página https://www.trf1.jus.br/sjba/enderecos-e-telefones/plantao-judicial-atendimento-ao-publico-externo ou digite *VARA* para ter acesso aos contatos dela.
▪️ Se estiver utilizando um computador, não é necessário instalar o aplicativo, basta escolher a opção “Continuar neste navegador”. Já pelo celular ou tablet, é preciso baixar o _Microsoft Teams_.
▪️ Após clicar no link do Balcão Virtual, é necessário clicar posteriormente na aba *Entrar no atendimento*, para ingressar de fato da sala de atendimento e em seguida clicar em  *Ingressar agora*, para iniciar a conversação.   
▪️ Aguarde o servidor autorizar sua entrada na sala virtual (lobby), mantendo o microfone desligado.
▪️ Quando atendimento for iniciado, mantenha a câmera ligada. Para processos em segredo de Justiça, será exigida a exibição de documento original com foto.
▪️ Ao término do atendimento, saia da sala virtual."
balcão,"🙎🏽 O *Balcão Virtual* permite que advogados, partes ou interessados acessem diretamente as secretarias das Varas para consulta de andamento de processos e outras orientações. *Não é permitido juntar petição* pelo Balcão Virtual.

*Horário de Atendimento:* *09h às 16h*

*Funcionamento:*
▪️ Clique no link da unidade que deseja contatar na página https://www.trf1.jus.br/sjba/enderecos-e-telefones/plantao-judicial-atendimento-ao-publico-externo ou digite *VARA* para ter acesso aos contatos dela.
▪️ Se estiver utilizando um computador, não é necessário instalar o aplicativo, basta escolher a opção “Continuar neste navegador”. Já pelo celular ou tablet, é preciso baixar o _Microsoft Teams_.
▪️ Após clicar no link do Balcão Virtual, é necessário clicar posteriormente na aba *Entrar no atendimento*, para ingressar de fato da sala de atendimento e em seguida clicar em  *Ingressar agora*, para iniciar a conversação.   
▪️ Aguarde o servidor autorizar sua entrada na sala virtual (lobby), mantendo o microfone desligado.
▪️ Quando atendimento for iniciado, mantenha a câmera ligada. Para processos em segredo de Justiça, será exigida a exibição de documento original com foto.
▪️ Ao término do atendimento, saia da sala virtual."
sustentação,"🙎🏽 Para solicitar sustentação oral, o advogado deverá *enviar para o e-mail da respectiva Turma Recursal* que será publicado na Ata, *nome, e-mail do participante, número do processo, nº da Turma Recursal e nº da Relatoria*, observando, outrossim, o prazo assinalado, conforme os termos da Portaria nº 10146177. 

Para mais orientações sobre *Sustentação Oral* acesse https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais"
sustentação oral,"🙎🏽 Para solicitar sustentação oral, o advogado deverá *enviar para o e-mail da respectiva Turma Recursal* que será publicado na Ata, *nome, e-mail do participante, número do processo, nº da Turma Recursal e nº da Relatoria*, observando, outrossim, o prazo assinalado, conforme os termos da Portaria nº 10146177. 

Para mais orientações sobre *Sustentação Oral* acesse https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais"
sustentacao,"🙎🏽 Para solicitar sustentação oral, o advogado deverá *enviar para o e-mail da respectiva Turma Recursal* que será publicado na Ata, *nome, e-mail do participante, número do processo, nº da Turma Recursal e nº da Relatoria*, observando, outrossim, o prazo assinalado, conforme os termos da Portaria nº 10146177. 

Para mais orientações sobre *Sustentação Oral* acesse https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais"
audiência virtual,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiência pelo teams,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
videoconferência,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
videoconferencia,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiencia virtual,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiencia teams,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiencia,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiência,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiencias,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
audiências,"🙎🏽  Para orientações sobre como participar de uma *audiência por videoconferência*, acesse o documento https://drive.google.com/file/d/1nNIi-jNqS03m1rVS5X2LFmJcR3su4vL7/view?usp=sharing 

Para outras informações acerca da realização da audiência, entre em contato com a vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*."
diligenciar,"🙎🏽 Para tratar sobre peticionamento não apreciado, cumprimento de sentença, diligenciamento de autos, perícia, entre em contato com a Vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*.

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
cumprimento,"🙎🏽 Para tratar sobre peticionamento não apreciado, cumprimento de sentença, diligenciamento de autos, perícia, entre em contato com a Vara. Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*.

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
perícia,"🙎🏽 Para tratar sobre marcação ou realização de perícia, entre em contato com a Vara onde tramita o seu processo. 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
pericia,"🙎🏽 Para tratar sobre marcação ou realização de perícia, entre em contato com a Vara onde tramita o seu processo. 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
perícias,"🙎🏽 Para tratar sobre marcação ou realização de perícia, entre em contato com a Vara onde tramita o seu processo. 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
pericias,"🙎🏽 Para tratar sobre marcação ou realização de perícia, entre em contato com a Vara onde tramita o seu processo. 

Na capital, digite *o número da Vara seguido de VF* para ter acesso aos canais de comunicação. Se for de Subseção, digite *INTERIOR*. 

_A Justiça Federal trabalha com os processos obedecendo a ordem cronológica de conclusão._"
perito,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
cadastro perito,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
cadastrar como perito,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
tradutor,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
dativo,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
intérprete,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
ajg,"🙎🏽 Para *cadastrar-se como advogado voluntário e dativo, perito, tradutor ou intérprete* e atuar na Justiça Federal, acesse o documento *Orientação para cadastro de profissionais* no link do AJG abaixo.

*AJG* https://www.trf1.jus.br/sjba/servicos/assistencia-judiciaria-gratuita"
turma recursal,"🙎🏽 *Turma Recursal*

E-mail: turma.recursal.ba@trf1.jus.br 

(71) 3616-4678 - 09h às 14h
(71) 3616-4679 - 14h às 18h

Balcão Virtual: *09 às 16h* https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-TurmaRecursal 

Acesse mais canais de comunicação da Turma Recursal no link: https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais-bahia.htm"
turma,"🙎🏽 *Turma Recursal*

E-mail: turma.recursal.ba@trf1.jus.br 

(71) 3616-4678 - 09h às 14h
(71) 3616-4679 - 14h às 18h

Balcão Virtual: *09 às 16h* https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-TurmaRecursal 

Acesse mais canais de comunicação da Turma Recursal no link: https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais-bahia.htm"
TR,"🙎🏽 *Turma Recursal*

E-mail: turma.recursal.ba@trf1.jus.br 

(71) 3616-4678 - 09h às 14h
(71) 3616-4679 - 14h às 18h

Balcão Virtual: *09 às 16h* https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-TurmaRecursal 

Acesse mais canais de comunicação da Turma Recursal no link: https://www.trf1.jus.br/sjba/turmas-recursais/turmas-recursais-bahia.htm"
